*******************************************************************************
*** Historical Isotopic Temperature Record from the Vostok Ice Core         ***
***                                                                         *** 
*** The data available from CDIAC represent a major effort by researchers   ***
*** from France, Russia, and the U.S.A.  We ask as a professional courtesy  ***
*** (and as a condition for its use by you) that when you refer to this     ***
*** data set in publications you cite the following papers.                 ***
***                                                                         ***
***  Jouzel, J., C. Lorius, J.R. Petit, C. Genthon, N.I. Barkov,            ***
***   V.M. Kotlyakov, and V.M. Petrov. 1987.  Vostok ice core: a continuous ***
***   isotope temperature record over the last climatic cycle (160,000      ***
***   years). Nature 329:403-8.                                             ***
***                                                                         ***
***  Jouzel, J., N.I. Barkov, J.M. Barnola, M. Bender, J. Chappellaz,       ***
***   C. Genthon, V.M. Kotlyakov, V. Lipenkov, C. Lorius, J.R. Petit,       ***
***   D. Raynaud, G. Raisbeck, C. Ritz, T. Sowers, M. Stievenard, F. Yiou,  ***
***   and P. Yiou. 1993. Extending the Vostok ice-core record of            ***
***   palaeoclimate to the penultimate glacial period. Nature 364:407-12.   ***
***                                                                         ***
***  Jouzel, J., C. Waelbroeck, B. Malaize, M. Bender, J.R. Petit,          ***
***   M. Stievenard, N.I. Barkov, J.M. Barnola, T. King, V.M. Kotlyakov,    ***
***   V. Lipenkov, C. Lorius, D. Raynaud, C. Ritz, and T. Sowers. 1996.     ***
***   Climatic interpretation of the recently extended Vostok ice records.  ***
***   Climate Dynamics 12:513-521.                                          ***
***                                                                         ***
***  Petit, J.R., J. Jouzel, D. Raynaud, N.I. Barkov, J.-M. Barnola,        ***
***   I. Basile, M. Bender, J. Chappellaz, M. Davis, G. Delayque,           ***
***   M. Delmotte, V.M. Kotlyakov, M. Legrand, V.Y. Lipenkov, C. Lorius,    ***
***   L. Pepin, C. Ritz, E. Saltzman, and M. Stievenard. 1999.              ***
***   Climate and atmospheric history of the past 420,000 years from the    ***
***   Vostok ice core, Antarctica. Nature 399: 429-436.                     ***
***                                                                         ***
*** Source: J. R. Petit                                                     ***
***         D. Raynaud                                                      ***
***         C. Lorius                                                       ***
***         Laboratoire de Glaciologie et de Geophysique de l'Environnement ***
***         38402 Saint Martin d'Heres Cedex, France                        ***
***                                                                         ***
***         J. Jouzel                                                       ***
***         G. Delaygue                                                     ***
***         Laboratoire des Sciences du Climat et de l'Environment          ***
***         (UMR CEA/CNRS 1572)                                             ***
***         91191 Gif-sur-Yvette Cedex, France                              ***
***                                                                         ***
***         N. I. Barkov                                                    ***
***         Arctic and Antarctic Research Institute                         ***
***         Beringa Street 38                                               ***
***         St. Petersburg 199397, Russia                                   ***
***                                                                         ***
***         V. M. Kotlyakov                                                 ***
***         Institute of Geography                                          ***
***         Staromonetny, per 29, Moscow 109017, Russia                     ***
***                                                                         ***
*** January 2000                                                            ***
*******************************************************************************
#                   Deuterium               
#         Age of     content   Temperature
# Depth   the ice   of the ice  Variation
#  (m)    (yr BP)   (delta D)    (deg C)
# 
3057   309077       -459.0       -3.86
3058   309365       -458.8       -3.83
3059   309651       -458.0       -3.69
3060   309934       -456.2       -3.39
3061   310215       -455.8       -3.32
3062   310493       -454.3       -3.06
3063   310766       -452.6       -2.78
3064   311035       -451.2       -2.54
3065   311302       -450.4       -2.39
3066   311568       -450.1       -2.33
3067   311832       -449.5       -2.22
3068   312099       -450.9       -2.45
3069   312367       -450.4       -2.35
3070   312634       -450.1       -2.29
3071   312899       -447.9       -1.92
3072   313159       -447.2       -1.79
3073   313418       -446.2       -1.61
3074   313674       -444.7       -1.34
3075   313928       -445.0       -1.38
3076   314183       -445.0       -1.36
3077   314438       -444.8       -1.32
3078   314692       -443.6       -1.10
3079   314943       -443.0       -0.99
3080   315194       -443.0       -0.97
3081   315443       -441.1       -0.64
3082   315689       -440.3       -0.48
3083   315934       -440.3       -0.46
3084   316179       -440.7       -0.51
3085   316424       -438.8       -0.18
3086   316666       -438.9       -0.18
3087   316910       -439.9       -0.33
3088   317155       -439.2       -0.20
3089   317401       -440.4       -0.39
3090   317649       -440.6       -0.42
3091   317897       -439.0       -0.14
3092   318141       -438.4       -0.03
3093   318385       -438.1        0.02
3094   318628       -437.0        0.20
3095   318872       -438.1        0.01
3096   319118       -437.9        0.02
3097   319364       -436.9        0.16
3098   319608       -436.3        0.24
3099   319853       -436.7        0.15
3100   320102       -438.2       -0.12
3101   320354       -438.4       -0.18
3102   320607       -437.7       -0.09
3103   320856       -434.7        0.38
3104   321095       -430.0        1.14
3105   321329       -429.1        1.26
3106   321559       -426.5        1.66
3107   321783       -423.2        2.18
3108   322000       -420.2        2.65
3109   322214       -418.8        2.85
3110   322426       -418.7        2.82
3111   322638       -416.2        3.19
3112   322847       -415.9        3.18
3113   323057       -416.2        3.08
3114   323269       -415.8        3.08
3115   323482       -414.9        3.14
3116   323695       -415.2        2.99
3117   323911       -415.5        2.84
3118   324129       -414.8        2.86
3119   324349       -415.6        2.65
3120   324574       -417.2        2.34
3121   324804       -419.0        2.00
3122   325039       -420.3        1.74
3123   325278       -421.0        1.59
3124   325527       -426.3        0.68
3125   325789       -430.0        0.05
3126   326061       -431.7       -0.25
3127   326342       -435.9       -0.96
3128   326639       -440.5       -1.73
3129   326952       -444.4       -2.39
3130   327273       -444.5       -2.41
3131   327597       -445.4       -2.55
3132   327924       -445.9       -2.64
3133   328258       -448.3       -3.03
3134   328602       -450.6       -3.41
3135   328955       -452.3       -3.68
3136   329318       -455.6       -4.21
3137   329694       -457.8       -4.56
3138   330081       -459.9       -4.90
3139   330476       -461.4       -5.11
3140   330883       -465.0       -5.67
3141   331300       -465.8       -5.76
3142   331725       -467.8       -6.06
3143   332164       -471.5       -6.63
3144   332624       -475.8       -7.30
3145   333106       -479.4       -7.86
3146   333602       -480.7       -8.04
3147   334101       -480.3       -7.94
3148   334600       -480.4       -7.93
3149   335100       -480.1       -7.87
3150   335595       -478.4       -7.58
3151   336081       -476.6       -7.28
3152   336567       -477.5       -7.43
3153   337055       -476.7       -7.30
3154   337544       -477.4       -7.42
3155   338033       -475.8       -7.16
3156   338521       -476.6       -7.30
3157   339015       -477.2       -7.40
3158   339505       -474.6       -6.98
3159   339993       -475.5       -7.13
3160   340490       -477.3       -7.44
3161   340984       -473.9       -6.88
3162   341462       -470.4       -6.31
3163   341930       -470.0       -6.26
3164   342401       -470.3       -6.32
3165   342879       -471.8       -6.59
3166   343364       -472.0       -6.64
3167   343853       -472.6       -6.76
3168   344348       -473.0       -6.84
3169   344839       -470.5       -6.43
3170   345327       -471.3       -6.58
3171   345821       -471.7       -6.65
3172   346319       -472.3       -6.76
3173   346823       -472.8       -6.84
3174   347330       -472.7       -6.83
3175   347841       -473.3       -6.92
3176   348357       -474.1       -7.05
3177   348877       -473.9       -7.02
3178   349404       -475.8       -7.32
3179   349945       -477.6       -7.61
3180   350493       -477.8       -7.64
3181   351044       -477.9       -7.64
3182   351596       -477.5       -7.57
3183   352150       -478.0       -7.64
3184   352710       -478.9       -7.77
3185   353273       -478.6       -7.71
3186   353838       -478.7       -7.71
3187   354400       -477.3       -7.46
3188   354958       -477.1       -7.41
3189   355512       -475.5       -7.13
3190   356060       -474.5       -6.94
3191   356612       -476.4       -7.24
3192   357167       -475.1       -7.01
3193   357712       -472.6       -6.58
3194   358247       -471.6       -6.39
3195   358786       -473.2       -6.64
3196   359327       -471.9       -6.41
3197   359855       -468.3       -5.80
3198   360376       -468.9       -5.89
3199   360904       -469.9       -6.05
3200   361440       -471.1       -6.24
3201   361973       -468.4       -5.79
3202   362503       -469.1       -5.90
3203   363042       -470.9       -6.20
3204   363580       -468.0       -5.72
3205   364114       -468.7       -5.84
3206   364659       -470.9       -6.21
3207   365208       -468.9       -5.88
3208   365743       -466.0       -5.40
3209   366267       -464.3       -5.13
3210   366784       -462.5       -4.84
3211   367297       -462.6       -4.86
3212   367816       -463.3       -4.97
3213   368329       -460.2       -4.46
3214   368829       -457.6       -4.03
3215   369331       -460.7       -4.54
3216   369858       -464.9       -5.23
3217   370403       -466.1       -5.42
3218   370960       -468.1       -5.74
3219   371545       -473.8       -6.67
3220   372149       -473.3       -6.58
3221   372746       -470.8       -6.15
3222   373331       -469.4       -5.90
3223   373909       -468.0       -5.66
3224   374478       -466.1       -5.33
3225   375042       -465.8       -5.26
3226   375604       -464.8       -5.08
3227   376155       -461.7       -4.55
3228   376690       -458.9       -4.07
3229   377204       -454.2       -3.27
3230   377702       -452.6       -2.99
3231   378210       -457.1       -3.72
3232   378743       -460.6       -4.29
3233   379297       -462.7       -4.63
3234   379864       -464.3       -4.88
3235   380435       -463.1       -4.68
3236   380997       -461.0       -4.32
3237   381551       -459.4       -4.05
3238   382095       -457.4       -3.72
3239   382622       -452.6       -2.92
3240   383134       -451.4       -2.72
3241   383641       -450.1       -2.50
3242   384159       -454.5       -3.24
3243   384710       -459.6       -4.10
3244   385288       -462.2       -4.54
3245   385894       -467.1       -5.36
3246   386528       -468.8       -5.65
3247   387167       -467.6       -5.46
3248   387804       -467.2       -5.40
3249   388435       -464.8       -5.02
3250   389061       -465.1       -5.07
3251   389700       -467.3       -5.44
3252   390349       -466.7       -5.34
3253   390999       -466.8       -5.36
3254   391658       -468.3       -5.60
3255   392317       -465.7       -5.17
3256   392972       -466.6       -5.31
3257   393636       -467.2       -5.40
3258   394297       -465.0       -5.02
3259   394935       -460.3       -4.23
3260   395543       -455.6       -3.43
3261   396126       -451.9       -2.80
3262   396694       -450.5       -2.54
3263   397253       -448.6       -2.20
3264   397808       -448.3       -2.13
3265   398361       -447.2       -1.92
3266   398909       -445.9       -1.68
3267   399455       -445.9       -1.65
3268   400003       -446.0       -1.64
3269   400553       -445.8       -1.58
3270   401097       -443.5       -1.17
3271   401636       -443.2       -1.09
3272   402179       -444.4       -1.26
3273   402728       -444.4       -1.23
3274   403276       -443.3       -1.01
3275   403815       -440.9       -0.58
3276   404346       -439.8       -0.37
3277   404874       -439.5       -0.28
3278   405401       -438.6       -0.10
3279   405923       -437.1        0.18
3280   406441       -436.5        0.31
3281   406957       -435.6        0.49
3282   407469       -434.4        0.71
3283   407977       -433.7        0.85
3284   408485       -433.3        0.94
3285   408992       -432.3        1.12
3286   409496       -431.4        1.28
3287   409995       -429.3        1.64
3288   410483       -426.4        2.13
3289   410979       -431.6        1.27
3290   411492       -431.2        1.34
3291   412009       -431.9        1.23
3292   412533       -432.4        1.15
3293   413062       -432.8        1.08
3294   413601       -434.5        0.80
3295   414147       -434.2        0.85
3296   414692       -432.8        1.07
3297   415235       -432.2        1.16
3298   415781       -432.3        1.13
3299   416327       -431.1        1.32
3300   416872       -430.8        1.36
3301   417419       -430.3        1.43
3302   417969       -430.4        1.40
3303   418526       -431.1        1.27
3304   419095       -433.0        0.94
3305   419682       -435.5        0.51
3306   420281       -435.2        0.54
3307   420888       -436.4        0.32
3308   421507       -437.3        0.15
3309   422135       -437.6        0.08
3310   422766       -436.6        0.23
